date,state,positive,new_positive,negative,death,new_death,hospitalized
20200719,California,384692,9329,5902160,7685,90,
20200719,Colorado,39788,444,396150,1615,0,6019
20200719,Connecticut,47893,0,609238,4396,0,10654
20200719,Washington DC,11261,67,136504,578,0,
20200719,Delaware,13519,90,139476,523,0,
20200719,Florida,350047,12478,2652594,5091,89,21309
20200719,Georgia,143123,3251,1112196,3173,5,15010
20200719,Guam,315,0,17938,5,0,
20200719,Hawaii,1354,20,103281,24,1,140
20200719,Iowa,38723,816,376768,794,7,
20200719,Idaho,14302,550,131884,119,1,583
20200719,Illinois,162750,965,2082936,7488,5,
20200719,Indiana,56571,917,570309,2822,2,7895
20200719,Kansas,21965,0,227388,299,0,1453
20200719,Kentucky,23161,977,469563,670,3,2880
20200719,Louisiana,91706,3116,977598,3543,34,
20200719,Massachusetts,113534,296,927001,8431,12,11717
20200719,Maryland,78131,925,661654,3377,9,11841
20200719,Maine,3687,41,133750,117,0,375
20200719,Michigan,81868,530,1402591,6366,2,
20200719,Minnesota,46204,734,806984,1581,3,4627
20200719,Missouri,33094,846,525985,1129,-1,
20200719,MP,37,0,10664,2,0,4
20200719,Mississippi,42638,792,335439,1355,9,3727
20200719,Montana,2533,62,130626,37,0,165
20200719,North Carolina,99778,1820,1295086,1634,5,
20200719,North Dakota,5019,112,128835,82,0,302
20200719,Nebraska,22481,120,209920,301,0,1481
20200719,New Hampshire,6203,38,137175,398,3,673
20200719,New Jersey,176783,-31,1614354,15706,7,21064
20200719,New Mexico,16736,280,443928,569,4,2364
20200719,Nevada,35765,1288,354023,647,1,
20200719,New York,406807,502,4708663,25048,13,89995
20200719,Ohio,74932,1110,1087982,3174,42,9555
20200719,Oklahoma,25265,209,450675,451,0,2388
20200719,Oregon,14579,430,321011,260,3,1327
20200719,Pennsylvania,101027,786,926352,7015,8,
20200719,Puerto Rico,12063,610,255766,178,0,
20200719,Rhode Island,17793,0,161408,990,0,2088
20200719,South Carolina,69986,2374,507400,1155,20,4182
20200719,South Dakota,7906,44,90181,118,2,774
20200719,Tennessee,78115,1779,1119182,843,5,3681
20200719,Texas,325030,7300,2607334,3958,93,
20200719,Utah,34117,785,428705,243,0,2033
20200719,Virginia,77430,1057,829933,2027,2,11203
20200719,Virgin Islands,297,14,6587,6,0,
20200719,Vermont,1350,12,81150,56,0,
20200719,Washington,46026,959,745760,1444,10,5033
20200719,Wisconsin,45948,849,730902,851,1,4107
20200719,West Virginia,5042,148,225946,100,0,
20200719,Wyoming,2126,18,41927,24,0,143
20200718,Alaska,2159,78,166204,18,1,
20200718,Alabama,65234,2143,509261,1286,21,7782
20200718,Arkansas,31762,0,381243,353,0,2135
20200718,American Samoa,0,0,1037,0,0,
20200718,Arizona,141265,2742,630726,2730,147,6567
20200718,California,375363,9199,5791855,7595,120,
20200718,Colorado,39344,618,391439,1615,0,5994
20200718,Connecticut,47893,0,582076,4396,0,10654
20200718,Washington DC,11194,79,133761,578,1,
20200718,Delaware,13429,92,137328,523,2,
20200718,Florida,337569,10328,2594419,5002,90,20969
20200718,Georgia,139872,4689,1091934,3168,36,14961
20200718,Guam,315,1,17938,5,0,
20200718,Hawaii,1334,23,101661,23,1,139
20200718,Iowa,37907,185,365822,787,3,
20200718,Idaho,13752,619,128753,118,4,570
20200718,Illinois,161785,1276,2051788,7483,18,
20200718,Indiana,55654,841,558801,2820,17,7861
20200718,Kansas,21965,0,227388,299,0,1453
20200718,Kentucky,22184,579,468017,667,9,2875
20200718,Louisiana,88590,0,955350,3509,0,
20200718,Massachusetts,113238,359,913595,8419,17,11709
20200718,Maryland,77206,835,643780,3368,9,11788
20200718,Maine,3646,10,131283,117,2,375
20200718,Michigan,81338,745,1374740,6364,9,
20200718,Minnesota,45470,457,790492,1578,5,4602
20200718,Missouri,32248,960,518628,1130,9,
20200718,MP,37,0,10664,2,0,4
20200718,Mississippi,41846,1017,335439,1346,14,3727
20200718,Montana,2471,105,129408,37,0,164
20200718,North Carolina,97958,2481,1281185,1629,23,
20200718,North Dakota,4907,115,126608,82,0,295
20200718,Nebraska,22361,227,208790,301,2,1480
20200718,New Hampshire,6165,0,135621,395,0,670
20200718,New Jersey,176814,263,1604636,15699,15,21064
20200718,New Mexico,16456,318,435842,565,3,2337
20200718,Nevada,34477,1182,348060,646,9,
20200718,New York,406305,754,4662961,25035,11,89995
20200718,Ohio,73822,1542,1064614,3132,20,9513
20200718,Oklahoma,25056,916,450675,451,6,2375
20200718,Oregon,14149,347,316644,257,3,1327
20200718,Pennsylvania,100241,763,912486,7007,15,
20200718,Puerto Rico,11453,333,255766,178,1,
20200718,Rhode Island,17793,0,161408,990,0,2088
20200718,South Carolina,67612,1552,494381,1135,39,4182
20200718,South Dakota,7862,73,89385,116,0,771
20200718,Tennessee,76336,2517,1097316,838,23,3649
20200718,Texas,317730,10158,2524955,3865,130,
20200718,Utah,33332,760,422908,243,8,2014
20200718,Virginia,76373,940,813328,2025,12,11142
20200718,Virgin Islands,283,20,6239,6,0,
20200718,Vermont,1338,4,79108,56,0,
20200718,Washington,45067,754,722590,1434,7,4984
20200718,Wisconsin,45099,1031,723643,850,10,4082
20200718,West Virginia,4894,111,220617,100,0,
20200718,Wyoming,2108,39,41927,24,0,142
20200717,Alaska,2081,49,163333,17,0,
20200717,Alabama,63091,2003,500024,1265,35,7584
20200717,Arkansas,31762,648,375735,353,12,2070
20200717,American Samoa,0,0,1037,0,0,
20200717,Arizona,138523,3910,626445,2583,91,6402
20200717,California,366164,9986,5677935,7475,130,
20200717,Colorado,38726,571,385623,1615,14,5966
20200717,Connecticut,47893,143,582215,4396,7,10654
20200717,Washington DC,11115,39,130492,577,3,
20200717,Delaware,13337,223,135273,521,0,
20200717,Florida,327241,11466,2553527,4912,130,20526
20200717,Georgia,135183,3908,1063495,3132,28,14647
20200717,Guam,314,0,17938,5,0,
20200717,Hawaii,1311,19,99893,22,0,138
20200717,Iowa,37722,590,364731,784,6,
20200717,Idaho,13133,688,127186,114,4,554
20200717,Illinois,160509,1427,2006965,7465,13,
20200717,Indiana,54813,733,549822,2803,8,7814
20200717,Kansas,21965,1032,227388,299,0,1453
20200717,Kentucky,21605,522,461457,658,8,2864
20200717,Louisiana,88590,2179,955350,3509,24,
20200717,Massachusetts,112879,298,901708,8402,22,11691
20200717,Maryland,76371,707,631845,3359,12,11728
20200717,Maine,3636,38,129809,115,1,375
20200717,Michigan,80593,754,1344913,6355,7,
20200717,Minnesota,45013,666,774498,1573,7,4563
20200717,Missouri,31288,866,506608,1121,8,
20200717,MP,37,1,10664,2,0,4
20200717,Mississippi,40829,1032,330635,1332,24,3712
20200717,Montana,2366,135,128038,37,2,159
20200717,North Carolina,95477,2051,1248497,1606,18,
20200717,North Dakota,4792,124,124683,82,0,290
20200717,Nebraska,22134,155,204062,299,8,1453
20200717,New Hampshire,6165,52,135621,395,1,670
20200717,New Jersey,176551,50,1592377,15684,19,21003
20200717,New Mexico,16138,297,427230,562,5,2312
20200717,Nevada,33295,1380,343712,637,11,
20200717,New York,405551,776,4593898,25024,10,89995
20200717,Ohio,72280,1679,1043844,3112,9,9445
